course_id,course_name,course_desc,course_creator,course_img,createdAt,updatedAt,data_loaded_at
1,Write A Feature Length Screenplay For Film Or Television,"Write a Full Length Feature Film Script  In this course, you will write a complete, feature-length screenplay for film or television, be it a serious drama or romantic comedy or anything in between. Youï¿½ll learn to break down the creative process into components, and youï¿½ll discover a structured process that allows you to produce a polished and pitch-ready script by the end of the course. Completing this project will increase your confidence in your ideas and abilities, and youï¿½ll feel prepared to pitch your first script and get started on your next. This is a course designed to tap into your creativity and is based in ""Active Learning"". Most of the actual learning takes place within your own activities - that is, writing! You will learn by doing.  Here is a link to a TRAILER for the course. To view the trailer, please copy and paste the link into your browser. https://vimeo.com/382067900/b78b800dc0  Learner review: ""Love the approach Professor Wheeler takes towards this course. It's to the point, easy to follow, and very informative! Would definitely recommend it to anyone who is interested in taking a Screenplay Writing course!  The course curriculum is simple: We will adopt a professional writers room process in which youï¿½ll write, post your work for peer review, share feedback with your peers and revise your work with the feedback you receive from your peers. That's how we do it in the real world. You will feel as if you were in a professional writers room yet no prior experience as a writer is required. I'm a proponent of Experiential Learning (Active Learning). My lectures are short (sometimes just two minutes long) and to the point, designed in a step-by-step process essential to your success as a script writer. I will guide you but I wonï¿½t ""show"" you how to write. I firmly believe that the only way to become a writer is to write, write, write.  Learner Review: ""I would like to thank this course instructor. It's an amazing course""  What youï¿½ll need to get started: As mentioned above, no prior script writing experience is required. To begin with, any basic word processor will do. During week two, you can choose to download some free scriptwriting software such as Celtx or Trelby or you may choose to purchase Final Draft, the industry standard, or you can continue to use your word processor and do your own script formatting.   Learner Review: ""Now I am a writer!""  If you have any concerns regarding the protection of your original work, Coursera's privacy policy protects the learner's IP and you are indeed the sole owners of your work.",100,https://images.pexels.com/photos/1181675/pexels-photo-1181675.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
2,Business Strategy: Business Model Canvas Analysis with Miro,"By the end of this guided project, you will be fluent in identifying and creating Business Model Canvas solutions based on previous high-level analyses and research data.  This will enable you to identify and map the elements required for new products and services. Furthermore, it is essential for generating positive results for your business venture. This guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in strategy and product development with the Miro platform to explore and analyse your business propositions.   We will practice critically examining results from previous analysis and research results in deriving the values for each of the business model sections.",100,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
3,Finance for Managers,"When it comes to numbers, there is always more than meets the eye.  In operational finance, you will learn how to read the ï¿½storyï¿½ that the balance sheet and income statement tells about the companyï¿½s operations. The insights you gain from this ï¿½financial storyï¿½ will then become a tool for short-term decision-making at the top management level relating to current assets, current liabilities and the management of working capital. Finally, by the end of the course you will understand the financial consequences of managerial decisions on operations, marketing, etc.",300,https://images.pexels.com/photos/11035393/pexels-photo-11035393.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
4,Retrieve Data using Single-Table SQL Queries,"In this course youï¿½ll learn how to effectively retrieve data from a relational database table using the SQL language.   We all know that most computer systems rely on at least one database to store data. Your tax information is stored in the database used by the Internal Revenue Service. Your phone stores your contactsï¿½   names, addresses, email addresses, and phone numbers in a database. If you shop online, youï¿½re viewing photos, descriptions, and prices of products that are stored in a database. Database designers go to great lengths to design databases so that the data can be stored securely and in an organized format. Itï¿½s important to note that the main reason they go to all that work is so that we can get the data back out again when we need it! Thatï¿½s called ï¿½data retrievalï¿½.   Data is retrieved or read from a relational database by using a language called SQL to query (or question) the database. SQL is referred to as ï¿½the language of relational databasesï¿½. It can be used by itself or embedded in programs to retrieve data. Once the data is retrieved, it can be displayed on a web page or PC application, or even printed on paper.   Youï¿½ll be practicing writing SQL queries using SQLiteStudio.   Next time you go online and look up the daily special at your favorite restaurant, you can think about the fact that itï¿½s likely that an SQL query was used behind the scenes to fetch that data and pop it up on your screen. By the end of this course, youï¿½ll even have a pretty good idea what the query might have looked like!  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.",100,https://images.pexels.com/photos/1181675/pexels-photo-1181675.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
5,Building Test Automation Framework using Selenium and TestNG,"Selenium is one of the most widely used functional UI automation testing tools and TestNG is a brilliant testing framework.  Test automation frameworks are a set of guidelines or rules for writing test cases.  They can reduce maintenance costs and testing efforts and will provide a higher return on investment (ROI) for teams looking to optimize their processes.  Testing guidelines include coding standards, test-data management, defining object repositories, reporting guidelines, and logging strategies.  Through hands-on, practical experience, you will go through concepts writing reusable and structure code which is easy to maintain and understand, creating helper classes or utilities, write effective testcases, and generating reports and logs.",700,https://images.pexels.com/photos/5483240/pexels-photo-5483240.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
6,Doing Business in China Capstone,"Doing Business in China Capstone enables you to apply your skills to real business challenges. Youï¿½ll use your newly earned business skills to identify, explore and evaluate a real opportunity involving products.  In this capstone, you are the business consultant working for a well-established ï¿½HON / wellnessï¿½ company.  The CEO has given you a task.  You have to bring a new overseas product into China.",800,https://images.pexels.com/photos/267401/pexels-photo-267401.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
7,Agile Projects:  Developing Tasks with Taiga,"By the end of this guided project, you will be fluent in creating tasks for Agile projects based on previous project phases. This will enable you to identify ""How"" the customer/user will experience the product or service. You will learn how to encapsulate value for the customer in these tasks.   This is essential for generating positive results for your business venture. Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with Taiga to shape the development roadmap of products and services.   We will practice critically defining how user stories become valuable tasks for creating functionality for products and services.",400,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
8,Esports Management Capstone Project,"We will analyze the pros and cons of creating a single or multiple Esport organization and recommend an effective branding strategy for a hypothetical Esport organization based on current Esport branding considerations. You will develop a plan for recruiting funding resources for a hypothetical Esports organization and choose an Esport organization role of interest, other than Owner, and describe your reasoning.",600,https://images.pexels.com/photos/669619/pexels-photo-669619.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
9,Hacking and Patching,"In this MOOC, you will learn how to hack web apps with command injection vulnerabilities in a web site of your AWS Linux instance.   You will learn how to search valuable information on a typical Linux systems with LAMP services, and deposit and hide Trojans for future exploitation.  You will learn how to patch these web apps with input validation using regular expression. You will learn a security design pattern to avoid introducing injection vulnerabilities by input validation and replacing generic system calls with specific function calls.  You will learn how to hack web apps with SQL injection vulnerabilities and retrieve user profile information and passwords.  You will learn how to patch them with input validation and SQL parameter binding.  You will learn the hacking methodology, Nessus tool for scanning vulnerabilities, Kali Linux for penetration testing, and Metasploit Framework for gaining access to vulnerable Windows Systems, deploying keylogger, and perform Remote VNC server injection.  You will learn security in memory systems and virtual memory layout, and understand buffer overflow attacks and their defenses.  You will learn how to clone a Kali instance with AWS P2 GPU support and perform hashcat password cracking using dictionary attacks and known pattern mask attacks.",300,https://images.pexels.com/photos/5483240/pexels-photo-5483240.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
10,Business Statistics and Analysis Capstone,"The Business Statistics and Analysis Capstone is an opportunity to apply various skills developed across the four courses in the specialization to a real life data. The Capstone, in collaboration with an industry partner uses publicly available ï¿½Housing Dataï¿½ to pose various questions typically a client would pose to a data analyst. Your job is to do the relevant statistical analysis and report your findings in response to the questions in a way that anyone can understand. Please remember that this is a Capstone, and has a degree of difficulty/ambiguity higher than the previous four courses. The aim being to mimic a real life application as close as possible.",200,https://images.pexels.com/photos/265087/pexels-photo-265087.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
