id,course_id,dept_id,data_loaded_at
1,1,5,2024-10-08 16:11:56.496826
2,2,2,2024-10-08 16:11:56.496826
3,2,3,2024-10-08 16:11:56.496826
4,2,7,2024-10-08 16:11:56.496826
5,3,3,2024-10-08 16:11:56.496826
6,3,7,2024-10-08 16:11:56.496826
7,3,14,2024-10-08 16:11:56.496826
8,4,5,2024-10-08 16:11:56.496826
9,4,6,2024-10-08 16:11:56.496826
10,5,2,2024-10-08 16:11:56.496826
11,5,4,2024-10-08 16:11:56.496826
12,5,8,2024-10-08 16:11:56.496826
13,6,3,2024-10-08 16:11:56.496826
14,6,10,2024-10-08 16:11:56.496826
15,6,11,2024-10-08 16:11:56.496826
16,6,12,2024-10-08 16:11:56.496826
17,7,2,2024-10-08 16:11:56.496826
18,7,3,2024-10-08 16:11:56.496826
19,7,7,2024-10-08 16:11:56.496826
20,7,9,2024-10-08 16:11:56.496826
21,7,12,2024-10-08 16:11:56.496826
22,8,3,2024-10-08 16:11:56.496826
23,8,11,2024-10-08 16:11:56.496826
24,9,8,2024-10-08 16:11:56.496826
25,10,6,2024-10-08 16:11:56.496826
26,11,2,2024-10-08 16:11:56.496826
27,11,6,2024-10-08 16:11:56.496826
28,12,2,2024-10-08 16:11:56.496826
29,12,7,2024-10-08 16:11:56.496826
30,13,2,2024-10-08 16:11:56.496826
31,13,6,2024-10-08 16:11:56.496826
32,14,6,2024-10-08 16:11:56.496826
33,15,6,2024-10-08 16:11:56.496826
34,15,7,2024-10-08 16:11:56.496826
35,16,7,2024-10-08 16:11:56.496826
36,17,6,2024-10-08 16:11:56.496826
37,18,5,2024-10-08 16:11:56.496826
38,19,9,2024-10-08 16:11:56.496826
39,19,14,2024-10-08 16:11:56.496826
40,20,3,2024-10-08 16:11:56.496826
41,20,5,2024-10-08 16:11:56.496826
42,20,7,2024-10-08 16:11:56.496826
43,21,6,2024-10-08 16:11:56.496826
44,22,2,2024-10-08 16:11:56.496826
45,23,3,2024-10-08 16:11:56.496826
46,24,3,2024-10-08 16:11:56.496826
