id,skill_id,user_id,competency,data_loaded_at
1,8,2,advanced,2024-10-08 16:11:56.496826
2,16,2,advanced,2024-10-08 16:11:56.496826
3,19,2,intermediate,2024-10-08 16:11:56.496826
4,20,2,advanced,2024-10-08 16:11:56.496826
5,1,2,advanced,2024-10-08 16:11:56.496826
6,5,2,advanced,2024-10-08 16:11:56.496826
7,7,2,intermediate,2024-10-08 16:11:56.496826
8,15,2,advanced,2024-10-08 16:11:56.496826
9,6,2,advanced,2024-10-08 16:11:56.496826
10,14,2,advanced,2024-10-08 16:11:56.496826
11,10,2,advanced,2024-10-08 16:11:56.496826
12,9,2,advanced,2024-10-08 16:11:56.496826
13,2,2,intermediate,2024-10-08 16:11:56.496826
14,17,2,intermediate,2024-10-08 16:11:56.496826
15,11,2,intermediate,2024-10-08 16:11:56.496826
16,12,2,intermediate,2024-10-08 16:11:56.496826
17,3,2,advanced,2024-10-08 16:11:56.496826
18,4,2,advanced,2024-10-08 16:11:56.496826
19,55,2,advanced,2024-10-08 16:11:56.496826
20,18,2,advanced,2024-10-08 16:11:56.496826
21,19,3,advanced,2024-10-08 16:11:56.496826
22,7,3,advanced,2024-10-08 16:11:56.496826
23,5,3,advanced,2024-10-08 16:11:56.496826
24,3,3,advanced,2024-10-08 16:11:56.496826
25,13,3,intermediate,2024-10-08 16:11:56.496826
26,11,3,advanced,2024-10-08 16:11:56.496826
27,14,3,advanced,2024-10-08 16:11:56.496826
28,1,3,advanced,2024-10-08 16:11:56.496826
29,15,3,advanced,2024-10-08 16:11:56.496826
30,8,3,advanced,2024-10-08 16:11:56.496826
31,20,3,advanced,2024-10-08 16:11:56.496826
32,55,3,advanced,2024-10-08 16:11:56.496826
33,6,3,advanced,2024-10-08 16:11:56.496826
34,4,3,advanced,2024-10-08 16:11:56.496826
35,12,3,advanced,2024-10-08 16:11:56.496826
36,10,3,advanced,2024-10-08 16:11:56.496826
37,9,3,advanced,2024-10-08 16:11:56.496826
38,2,3,intermediate,2024-10-08 16:11:56.496826
39,17,3,advanced,2024-10-08 16:11:56.496826
40,3,4,advanced,2024-10-08 16:11:56.496826
41,5,4,intermediate,2024-10-08 16:11:56.496826
42,2,4,intermediate,2024-10-08 16:11:56.496826
43,16,4,advanced,2024-10-08 16:11:56.496826
44,11,4,advanced,2024-10-08 16:11:56.496826
45,12,4,intermediate,2024-10-08 16:11:56.496826
46,8,4,advanced,2024-10-08 16:11:56.496826
47,9,4,advanced,2024-10-08 16:11:56.496826
48,14,4,advanced,2024-10-08 16:11:56.496826
49,18,4,advanced,2024-10-08 16:11:56.496826
50,4,4,advanced,2024-10-08 16:11:56.496826
51,6,4,advanced,2024-10-08 16:11:56.496826
